label,Fx,Fy,Fz,Tx,Ty,Tz
normal,"[-1, 0, -1, -1, -1, -1, -1, -1, -1, -1, -1, -1, -1, -1, -1]","[-1, 0, -1, -1, -1, -1, -1, -1, -1, -1, -1, -1, -1, -1, 0]","[63, 62, 61, 63, 63, 63, 63, 63, 63, 61, 61, 64, 64, 60, 64]","[-3, -3, -3, -2, -3, -3, -3, -3, -3, -3, -3, -3, -3, -3, -2]","[-1, -1, 0, -1, -1, -1, 0, -1, -1, 0, 0, -1, -1, 0, -1]","[0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0]"
normal,"[-1, -1, -1, 0, 0, -3, -1, 0, 0, 0, -3, -1, -1, 0, -1]","[-1, -1, -1, -4, -1, 3, 3, -3, -2, -3, 3, -1, -2, 1, -1]","[63, 63, 61, 63, 59, 57, 70, 61, 53, 66, 58, 66, 67, 66, 59]","[-2, -3, -3, 1, -2, -8, -10, 0, -1, 1, -10, -4, -3, -6, -3]","[-1, -1, 0, 0, 0, -3, -2, 0, -2, 4, -5, -2, -1, -3, -4]","[0, 0, 0, 0, -1, -1, -1, 0, 0, 0, 0, 0, 0, -1, 0]"
normal,"[-1, 0, -1, -1, -1, 0, -1, 0, -1, 1, -1, -1, -1, -1, -1]","[0, -3, 1, -2, -1, 0, 1, -3, -1, -3, 2, 1, 0, 0, 0]","[57, 63, 51, 68, 65, 61, 61, 57, 59, 65, 64, 66, 61, 65, 54]","[-5, -1, -4, -2, -6, -5, -6, 3, -4, -1, -7, -7, -5, -6, -4]","[-3, 0, -1, -2, 1, -2, 0, -4, -4, 1, -2, -3, -5, -2, -3]","[0, 0, -1, 0, 0, 0, -1, 0, 0, 0, 0, -1, 0, -1, 0]"
normal,"[0, 0, -2, 1, -1, -1, 1, 1, -2, -1, 0, -1, 0, 0, -1]","[-1, -3, 1, -3, 1, 0, 1, -1, 5, 2, 1, 1, -1, -2, 1]","[59, 61, 56, 64, 62, 60, 56, 66, 64, 58, 70, 64, 67, 63, 63]","[-2, -1, -6, -1, -7, -9, -5, -4, -15, -8, -9, -8, -6, -4, -8]","[-1, 2, -3, 4, 1, -5, 0, 2, -2, -4, -2, -6, 0, 0, -2]","[-1, 0, 0, 0, -1, -1, 0, 1, 0, 0, -1, -1, -1, 0, 0]"
normal,"[0, -1, 0, -1, -2, -1, -1, 2, 0, -1, 0, -1, -1, -1, -1]","[-2, -2, 0, -1, 3, -2, 2, -2, 1, 2, -3, -1, 0, 0, 1]","[65, 56, 58, 56, 57, 65, 56, 60, 67, 60, 63, 73, 57, 59, 57]","[-4, -5, -9, -5, -12, -5, -9, -2, -9, -10, -3, -8, -7, -8, -9]","[-2, -3, -1, -3, -4, -2, -5, 3, -2, -5, -1, -5, -4, -4, -4]","[0, 0, 0, 0, -1, 0, 0, 1, 1, 0, 0, 0, -1, -1, -1]"
normal,"[-1, -2, -1, 1, -3, 0, -1, -2, -3, 1, -1, -1, -1, -2, 1]","[2, 3, 2, 3, 2, 1, 3, 3, 3, 2, 2, 3, 0, 3, -2]","[57, 60, 63, 62, 56, 58, 57, 61, 60, 64, 60, 63, 52, 58, 59]","[-10, -12, -12, -11, -9, -8, -11, -10, -11, -9, -9, -12, -8, -13, -7]","[-3, -4, -6, 0, -4, -1, -4, -5, -4, 0, -5, -6, -2, -5, 0]","[0, -1, 1, 0, 0, -1, 0, 0, 0, -1, 0, 0, 0, 0, -1]"
normal,"[-3, 0, -1, 0, -1, -1, -1, -1, -2, -1, 0, -1, 0, -1, 0]","[1, -2, -1, -2, -1, -1, -1, 0, -1, 0, -2, 0, -2, -1, -2]","[53, 65, 56, 60, 57, 56, 61, 57, 57, 53, 70, 67, 50, 59, 61]","[-10, -4, -7, -6, -7, -7, -8, -6, -7, -10, -7, -10, -3, -9, -6]","[-4, -1, -3, 0, -4, -3, -5, -5, -4, -5, -5, -7, -1, -4, -1]","[0, 0, 0, 0, 0, 0, 0, 0, 1, -1, 0, -1, 0, 0, 0]"
normal,"[2, -2, -2, 1, -1, -1, -1, -1, -1, -1, 1, -2, -1, -1, 0]","[0, 1, 3, -1, 1, 0, 0, 0, 0, 1, 0, 1, 0, -1, -3]","[69, 58, 54, 62, 63, 50, 60, 57, 60, 60, 60, 60, 63, 54, 57]","[-10, -11, -12, -6, -11, -8, -13, -11, -8, -8, -7, -12, -10, -11, -5]","[2, -4, -6, 0, -3, -1, -5, -4, -5, -5, -1, -6, -3, -3, 1]","[1, 0, 0, 0, -1, -1, 0, -1, -1, -1, 0, 3, 1, 0, 0]"
normal,"[-1, 0, 0, -1, -1, 0, -3, 2, -1, -2, 0, -1, -1, 0, -1]","[1, 0, 0, 2, 1, 3, 5, 1, 1, 3, -2, -2, -1, 0, 0]","[58, 64, 61, 55, 51, 58, 61, 69, 61, 57, 57, 58, 56, 57, 57]","[-11, -9, -11, -13, -11, -13, -18, -10, -13, -15, -8, -8, -10, -9, -9]","[-4, -3, -2, -3, -4, -4, -7, 0, -5, -6, -4, -4, -3, -4, -4]","[-1, 0, 0, 1, 0, 0, -1, 1, -1, -1, 1, 1, 0, 0, 3]"
normal,"[-1, -1, -1, -1, -1, -1, -1, -1, -1, -1, 0, -1, -1, -1, -1]","[-1, -1, -1, -1, -1, -1, -1, -1, -1, -1, 0, -1, -1, -1, -1]","[63, 61, 63, 64, 63, 63, 63, 63, 63, 63, 63, 63, 63, 64, 64]","[-3, -2, -3, -2, -2, -3, -2, -3, -3, -3, -3, -2, -2, -2, -3]","[-1, -2, 0, 0, -1, 0, -1, 0, -1, 0, -1, -1, -1, 0, -1]","[0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0]"
